palavra	ipa	luzofonema
guerra	/ˈɡɛʁɐ/	gérra
exame	/eˈzɐ̃mə/	ezame
enxame	/ẽˈʃɐmə/	enxame
exibir	/iziˈbir/	izibir
excelente	/ɐjʃsəˈlẽtə/	eisselente
guardar	/ɡwɐrˈdar/	guardar
queijo	/ˈkɐjʒu/	ceijo
casa	/ˈkazɐ/	caza
giro	/ˈʒiru/	jiro
lama	/ˈlɐmɐ/	lama
que	/ˈkə/	ce
cruzamentos	/kruzɐˈmẽtuʃ/	cruzamentos
infantes	/ĩˈfɐ̃təʃ/	infantes
relativamente	/ʁelɐtivɐˈmẽtə/	relativamente
passava	/pɐˈsavɐ/	pasava
folgava	/foɫˈɡavɐ/	folgava
meses	/ˈmezəʃ/	mezes
mês	/ˈmeʃ/	mês
mais	/ˈma‍jʃ/	mais
portugal	/purtuˈɡɑɫ/	portugal
redarguiu	/ʁədɐrˈgi‍u/	redargiu
tinha	/ˈtiɲɐ/	tinha
dizer	/ˈdizəɹ/	dizer
admiração	/ɐdmiɾɐˈsɐ̃‍w/	admirasão
perdão	/pərˈdɐ̃‍w/	perdão
desgraçados	/dəʒɡrɐˈsaduʃ/	desgrasados
gazua	/ɡɐˈzuɐ/	gazua
época	/ˈɛpukɐ/	época
agonia	/ɐɡuˈniɐ/	agonia
tempo	/ˈtẽpu/	tenpo
essa	/ˈɛsɐ/	esa
mercador	/mərkɐˈdor/	mercador
porque	/ˈpurkə/	porce
filha	/ˈfiʎɐ/	filha
cara	/ˈkaɾɐ/	cara
cuidados	/ku‍jˈdaduʃ/	cuidados
mãe	/ˈmɐ̃j/	mãe
agitadamente	/ɐʒitɐdɐˈmẽtə/	ajitadamente
lhe	/ˈʎə/	lhe
com	/ˈkõ/	con
até	/ɐˈtɛ/	até
cova	/ˈkɔvɐ/	cova
podiam	/puˈdiɐ̃‍w/	podiam
honrado	/õˈʁadu/	onrado
martírio	/mɐrˈtirju/	martírio
famílias	/fɐˈmiljɐʃ/	famílias
rua	/ˈʁuɐ/	rua
olhando	/oˈʎɐ̃du/	olhando
alta	/ˈɑltɐ/	alta
amor	/ɐˈmor/	amor
sino	/ˈsinu/	sino
segundo	/səˈgũdu/	segundo
convulsamente	/kõvulsɐˈmẽtə/	convulsamente
seria	/səˈriɐ/	seria
juramentos	/ʒuɾɐˈmẽtuʃ/	juramentos
coração	/kurɐˈsɐ̃‍w/	corasão
pombas	/ˈpõbɐʃ/	ponbas
tal	/ˈtal/	tal
descrição	/dəʃkriˈsɐ̃‍w/	descrisão
poeta	/pˈuɛtɐ/	poeta
uma	/ˈumɐ/	uma
revoltai	/ʁevɔlˈta‍j/	revoltai
ginasta	/ʒiˈnaʃtɐ/	jinasta
ginastas	/ʒiˈnaʃtɐʃ/	jinastas
tirou	/tiˈrow/	tirou
calaram	/kɐˈlarɐ̃‍w/	calárão
virei	/viˈrɐj/	virei
pedra	/ˈpɛdrɐ/	pedra
tão	/ˈtɐ̃‍w/	tão
direita	/diˈrɐjtɐ/	direita
olhos	/ˈɔʎuʃ/	olhos
galante	/ɡɐˈlɐ̃tə/	galante
supremo	/supˈremu/	supremo
felícia	/fəˈlisjɐ/	felísia
seu	/ˈsew/	seu
dentro	/ˈdẽtru/	dentro
êxtase	/ˈɐjʃtɐzə/	eistaze
dar	/ˈdar/	dar
negro	/ˈneɡru/	negro
sentiriam	/sẽtiˈriɐ̃‍w/	sentiríão
rosto	/ˈʁoʃtu/	rosto
algumas	/alˈɡumɐʃ/	algumas
forte	/ˈfɔɾtə/	forte
henrique	/ẽˈʁikə/	enrice
santo	/ˈsɐ̃tu/	santo
intervalo	/ĩtəɾˈvalu/	intervalo
sua	/ˈsuɐ/	sua
isso	/ˈisu/	iso
não	/ˈnɐ̃‍w/	não
sofreria	/sufɹəˈɾiɐ/	sofreria
massa	/ˈmasɐ/	masa
cenoura	/seˈnowɾɐ/	senoura
cidade	/siˈdadə/	sidade
quente	/ˈkẽtə/	cente
quieto	/kˈiɛtu/	cieto
kilo	/ˈkilu/	cilo
karaoke	/kaɾaˈɔkə/	caraóce
chave	/ˈʃavə/	xave
chuva	/ˈʃuvɐ/	xuva
gelo	/ˈʒelu/	jelo
girar	/ʒiˈɾaɹ/	jirar
génio	/ˈʒɛnju/	jénio
guia	/ˈɡiɐ/	gia
linguiça	/lĩˈɡwisɐ/	linguisa
homem	/ˈomẽ/	omem
hora	/ˈɔɾɐ/	ora
honra	/ˈõʁɐ/	onra
alho	/ˈaʎu/	alho
vinho	/ˈviɲu/	vinho
campo	/ˈkɐ̃pu/	canpo
bomba	/ˈbõbɐ/	bonba
táxi	/ˈtaksi/	táçi
oxigénio	/ɔksiˈʒɛnju/	oçijénio
exato	/eˈzatu/	ezato
texto	/ˈtɐjʃtu/	teisto
maxilar	/mɐksiˈlaɹ/	maçilar
exílio	/eˈzilju/	ezílio
sexo	/ˈsɛksu/	séço
flexível	/flɛˈksivɛl/	fleçível
extraordinário	/ɐjʃtɹɐɔɹdiˈnaɾju/	eistraordinário
exército	/eˈzɛɾsitu/	ezérsito
experiência	/əʃpəriˈẽsjɐ/	esperiensia
cheque	/ˈʃɛkə/	xéce
arquitetura	/ɐɾkitɛˈtuɾɐ/	arcitetura
licença	/liˈsẽsɐ/	lisensa
ruelas	/ʁwˈɛlɐʃ/	ruélas
felicidade	/felisiˈdadə/	felisidáde
